	Akkermansia_muciniphila_ATCC_BAA_835	Alistipes_finegoldii_AHN_2437_DSM_17242	Alistipes_putredinis_DSM_17216	Alistipes_shahii_WAL_8301	Anaerostipes_caccae_DSM_14662	Anaerotruncus_colihominis_DSM_17241	Anaerovorax_odorimutans_DSM_5092	Bacteroides_caccae_CL03T12C61	Bacteroides_coprocola_M16_DSM_17136	Bacteroides_finegoldii_DSM_17565	Bacteroides_fragilis_JCM_11017	Bacteroides_nordii_CL02T12C05	Bacteroides_ovatus_CL02T12C04	Bacteroides_plebeius_M12_DSM_17135	Bacteroides_salyersiae_CL02T12C01	Bacteroides_thetaiotaomicron_NLAE_zl_H492	Bacteroides_uniformis_3978_T3_i	Bacteroides_vulgatus_ATCC_8482	Bifidobacterium_bifidum_ATCC_29521	Bifidobacterium_breve_ACS_071_V_Sch8b	Bifidobacterium_catenulatum_DSM_16992_JCM_1194_LMG_11043	Bifidobacterium_longum_longum_F8	Butyrivibrio_crossotus_DSM_2876	Clostridium_acetobutylicum_DSM_1731	Clostridium_baratii_str_Sullivan	Clostridium_bartlettii_DSM_16795	Clostridium_beijerinckii_AAU1_buffalo	Clostridium_bifermentans_ATCC_638	Clostridium_botulinum_CDC54091	Clostridium_butyricum_60E_3	Clostridium_cadaveris_AGR2141	Clostridium_celatum_DSM_1785	Clostridium_cellulosi_DG5	Clostridium_difficile_DSM_1296	Clostridium_glycolicum_ATCC_14880	Clostridium_hiranonis_TO_931_DSM_13275	Clostridium_leptum_DSM_753	Clostridium_nexile_DSM_1787	Clostridium_orbiscindens_1_3_50AFAA	Clostridium_paraputrificum_AGR2156	Clostridium_perfringens_CPE_F4969	Clostridium_sordellii_8483	Clostridium_sporogenes_ATCC_15579	Clostridium_sticklandii_DSM_519	Clostridium_symbiosum_ATCC_14940	Clostridium_tyrobutyricum_DSM_2637	Collinsella_aerofaciens_ATCC_25986	Collinsella_intestinalis_DSM_13280	Collinsella_stercoris_DSM_13279	Coprococcus_eutactus_ATCC_27759	Dorea_formicigenerans_4_6_53AFAA	Eubacterium_hallii_DSM_3353	Eubacterium_rectale_M104_1	Eubacterium_ventriosum_ATCC_27560	Faecalibacterium_prausnitzii_L2_6	Marvinbryantia_formatexigens_I_52	Papillibacter_cinnamivorans_DSM_12816	Parabacteroides_distasonis_3776_D15_iv	Parabacteroides_goldsteinii_dnLKV18	Parabacteroides_merdae_CL03T12C32	Prevotella_albensis_JCM_12258	Prevotella_copri_CB7_DSM_18205	Prevotella_intermedia_ATCC_25611	Prevotella_melaninogenica_ATCC_25845	Prevotella_oralis_CC98A	Prevotella_salivae_DSM_15606	Prevotella_stercorea_DSM_18206	Prevotella_veroralis_F0319	Roseburia_intestinalis_L1_82	Ruminococcus_bromii_YE282	Ruminococcus_callidus_ATCC_27760	Ruminococcus_gnavus_AGR2154	Ruminococcus_lactaris_CC59_002D	Ruminococcus_obeum_A2_162	Sporobacter_termitidis_DSM_10068	Streptococcus_bovis_AG46	Streptococcus_mitis_SK629	Streptococcus_mutans_B16_P_Sm1	Streptococcus_oralis_ATCC_49296	Subdoligranulum_variabile_DSM_15176
K03559	4	1	1	1	0	0	0	1	1	3	1	1	1	1	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03561	4	2	2	2	0	0	0	3	2	4	3	3	3	2	3	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
K03563	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	2	1	1	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
K03564	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	1	1	1	0	3	1	0	1	1	1	0	1	1	1	1	0	0	1	1	2	0	0	1	0	0	0	0	0	2	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	2	1	2	0	0	0	0	0	1
K03565	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K03568	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	2	1	1	3	1	0	1	2	1	0	1	1	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03569	1	1	1	0	2	2	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	2	2	2	2	5	3	3	2	2	2	2	2	2	2	2	2	1	2	2	5	2	1	1	2	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	0	0	0	0	2
K03570	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
K03571	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0
K03572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K03573	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03574	2	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	2	1	1	2	4	3	1	1	2	2	1	1	2	2	0	1	2	1	1	1	0	1	1	1	0	1	2	0	0	1	0	1	3	2	3	3	2	1	1	0	0	0	1	0	1	2	1	0	0	0	3	1	1	3	3	3	1	4	6	3	5	1
K03575	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1
K03578	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03579	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K03580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03581	0	1	0	1	1	2	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	2	1	1	6	1	4	1	1	2	1	1	1	1	1	1	2	1	1	3	1	2	2	1	0	0	0	1	3	1	1	1	1	3	1	0	1	0	1	1	0	0	0	0	1	0	1	1	1	2	2	1	1	1	1	1	1	1
K03584	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K03585	4	5	3	5	0	0	0	3	4	4	4	4	5	8	6	5	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	5	4	1	1	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
K03587	1	1	1	1	0	0	0	2	3	1	1	1	3	1	2	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	3	1	1	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
K03588	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	3	1	1	1	0	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	1	0	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2
K03589	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	2	1	1	1	1	1	1	0	0	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0
K03590	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	2	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0
K03592	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	1	1	1	3	1	0	1	2	1	0	1	1	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03593	1	1	1	0	0	0	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
K03594	0	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
K03595	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
K03596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K03601	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K03602	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K03604	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
K03605	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03606	0	1	0	0	0	0	0	1	1	0	1	1	4	2	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K03608	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	1	1	1	1	1	0	1	1	1	0	1	0	1	1	2	1	1	1	1	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0
K03609	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	1	1	0	0	0	0	1
K03610	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	3	1	1	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
K03612	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	2	0	1	0	0	1	2	1	1	1	1	1	1	2	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1
K03613	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	2	1	1	0	1	0	1	1	2	1	1	1	1	1	1	2	1	1	1	1	0	0	0	1	1	1	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1
K03614	0	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	2	1	1	0	1	0	1	1	2	1	1	1	2	1	0	2	1	1	1	1	0	1	1	0	1	1	0	1	2	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	2
K03615	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	2	0	0	1	1	1	1	0	1	0	1	1	2	1	1	2	2	1	1	2	1	1	1	1	0	1	1	1	2	1	1	2	1	3	1	1	1	1	1	1	0	0	0	0	0	0	2	1	1	2	2	1	3	0	0	0	0	1
K03616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03617	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	2	1	1	0	1	0	1	1	2	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	2
K03620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03621	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
K03623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03624	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	3	2	1	4	1	2	2	2	3	1	1	1	1	1	3	2	2	2	2	2	1	2	3	1	1	1	2	2	2	2	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	2	2	2	3	1	1	1	1	1
K03625	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K03628	2	1	1	0	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	0	1	1	1	0	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	2	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0
K03629	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K03630	1	1	1	1	1	1	2	1	2	1	1	2	1	3	2	1	4	2	0	0	0	0	2	1	2	1	5	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	2	1	1	0	0	0	1	4	1	3	3	1	1	1	3	2	4	1	2	1	2	1	2	1	1	4	1	1	2	1	1	1	1	1	2	1	1
K03631	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K03637	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	1	1	1	0	1	0	1	1	0	0	0	0	1	1	2	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1
K03639	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	1	1	1	0	1	0	1	3	1	0	1	0	1	1	2	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1
K03640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03642	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
K03644	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
K03646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
K03647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
K03648	0	1	1	1	1	0	1	2	2	2	3	1	2	1	1	1	2	1	1	1	1	1	1	0	1	2	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	2	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	2	1	2	1	1	2	2	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1
K03650	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	4	1	3	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
K03652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	1	1	1	0	1	1	0	0	0	0	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0
K03654	2	2	2	1	1	0	1	3	4	4	8	3	4	4	4	5	4	3	1	1	1	1	0	1	2	1	7	1	1	2	1	2	0	1	2	0	0	0	0	2	2	3	1	2	1	1	1	1	1	1	0	1	1	0	1	0	1	3	4	5	4	3	2	2	3	2	2	2	1	1	1	1	0	0	1	0	0	0	0	0
K03655	2	1	4	1	2	2	1	2	2	5	2	2	4	1	1	2	5	4	5	5	3	4	3	1	1	1	5	1	1	1	1	1	1	1	1	2	2	3	2	1	1	2	1	3	1	1	2	2	5	4	4	2	2	3	2	6	1	4	5	4	7	7	3	3	2	3	3	2	6	1	2	1	3	4	1	1	1	1	1	3
K03657	2	1	1	0	3	3	2	1	1	1	2	3	2	1	1	3	2	2	3	3	3	1	2	5	6	3	33	4	19	3	5	6	2	4	6	3	1	3	5	4	5	12	7	3	3	5	1	1	2	4	3	2	4	3	1	5	2	2	2	2	1	1	2	2	2	2	2	2	4	2	2	6	5	4	2	1	2	1	2	3
K03658	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
K03660	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	0	0	1	1	3	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1
K03664	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	1
K03665	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	4	1	2	1	1	1	1	2	1	4	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
K03666	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
K03667	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03671	1	2	3	1	3	2	2	4	2	4	4	4	5	2	4	5	2	2	1	1	1	1	1	2	1	2	6	3	3	3	2	3	1	3	4	2	3	2	2	2	2	7	3	2	4	3	1	1	1	3	5	5	3	1	1	2	3	3	2	1	1	2	1	1	1	1	2	1	3	1	2	3	2	2	5	1	1	1	1	3
K03672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K03684	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
