Genome	Akkermansia muciniphila ATCC BAA-835	"Alistipes finegoldii AHN 2437, DSM 17242"	Alistipes putredinis DSM 17216	Alistipes shahii WAL 8301	Anaerostipes caccae DSM 14662	Anaerotruncus colihominis DSM 17241	Anaerovorax odorimutans DSM 5092	Bacteroides caccae CL03T12C61	"Bacteroides coprocola M16, DSM 17136"	Bacteroides finegoldii DSM 17565	Bacteroides fragilis JCM 11017	Bacteroides nordii CL02T12C05	Bacteroides ovatus CL02T12C04	"Bacteroides plebeius M12, DSM 17135"	Bacteroides salyersiae CL02T12C01	Bacteroides thetaiotaomicron NLAE-zl-H492	Bacteroides uniformis 3978 T3 i	Bacteroides vulgatus ATCC 8482	Bifidobacterium bifidum ATCC 29521	Bifidobacterium breve ACS-071-V-Sch8b	"Bifidobacterium catenulatum DSM 16992, JCM 1194, LMG 11043"	Bifidobacterium longum longum F8	Butyrivibrio crossotus DSM 2876	Clostridium acetobutylicum DSM 1731	Clostridium baratii str. Sullivan	Clostridium bartlettii DSM 16795	Clostridium beijerinckii AAU1_buffalo	Clostridium bifermentans ATCC 638	Clostridium botulinum CDC54091	Clostridium butyricum 60E.3	Clostridium cadaveris AGR2141	Clostridium celatum DSM 1785	Clostridium cellulosi DG5	Clostridium difficile DSM 1296	Clostridium glycolicum ATCC 14880	Clostridium hiranonis TO-931 DSM 13275	Clostridium leptum DSM 753	Clostridium nexile DSM 1787	Clostridium orbiscindens 1_3_50AFAA	Clostridium paraputrificum AGR2156	Clostridium perfringens CPE F4969	Clostridium sordellii 8483	Clostridium sporogenes ATCC 15579	Clostridium sticklandii DSM 519	Clostridium symbiosum ATCC 14940	Clostridium tyrobutyricum DSM 2637	Collinsella aerofaciens ATCC 25986	Collinsella intestinalis DSM 13280	Collinsella stercoris DSM 13279	Coprococcus eutactus ATCC 27759	Dorea formicigenerans 4_6_53AFAA	Eubacterium hallii DSM 3353	Eubacterium rectale M104/1	Eubacterium ventriosum ATCC 27560	Faecalibacterium prausnitzii L2-6	Marvinbryantia formatexigens I-52	Papillibacter cinnamivorans DSM 12816	Parabacteroides distasonis 3776 D15 iv	Parabacteroides goldsteinii dnLKV18	Parabacteroides merdae CL03T12C32	Prevotella albensis JCM 12258	"Prevotella copri CB7, DSM 18205"	Prevotella intermedia ATCC 25611	Prevotella melaninogenica ATCC 25845	Prevotella oralis CC98A	Prevotella salivae DSM 15606	Prevotella stercorea DSM 18206	Prevotella veroralis F0319	Roseburia intestinalis L1-82	Ruminococcus bromii YE282	Ruminococcus callidus ATCC 27760	Ruminococcus gnavus AGR2154	Ruminococcus lactaris CC59_002D	Ruminococcus obeum A2-162	Sporobacter termitidis DSM 10068	Streptococcus bovis AG46	Streptococcus mitis SK629	Streptococcus mutans B16 P Sm1	Streptococcus oralis ATCC 49296	Subdoligranulum variabile DSM 15176
Ruminococcus callidus ATCC 27760	0.63	0.57	0.59	0.54	0.34	0.61	0.67	0.57	0.66	0.63	0.57	0.57	0.55	0.64	0.56	0.56	0.59	0.59	0.7	0.7	0.72	0.67	0.81	0.75	0.67	0.72	0.45	0.65	0.55	0.64	0.68	0.71	0.81	0.48	0.69	0.66	0.76	0.77	0.67	0.6	0.7	0.57	0.7	0.68	0.65	0.72	0.68	0.68	0.51	0.82	0.75	0.78	0.83	0.77	0.74	0.68	0.68	0.66	0.59	0.61	0.64	0.68	0.61	0.61	0.63	0.63	0.61	0.61	0.77	0.81	1	0.72	0.82	0.74	0.65	0.7	0.72	0.67	0.73	0.71
Ruminococcus gnavus AGR2154	0.64	0.59	0.58	0.56	0.48	0.66	0.68	0.67	0.68	0.7	0.62	0.63	0.65	0.68	0.65	0.66	0.65	0.67	0.67	0.7	0.67	0.63	0.75	0.72	0.78	0.72	0.6	0.71	0.62	0.74	0.74	0.81	0.69	0.62	0.74	0.71	0.74	0.84	0.71	0.73	0.78	0.7	0.72	0.66	0.7	0.7	0.72	0.71	0.63	0.74	0.8	0.76	0.82	0.8	0.77	0.78	0.6	0.65	0.67	0.67	0.61	0.66	0.57	0.59	0.61	0.64	0.63	0.59	0.81	0.7	0.72	1	0.82	0.8	0.63	0.68	0.7	0.67	0.73	0.78
Ruminococcus lactaris CC59_002D	0.66	0.62	0.61	0.58	0.42	0.65	0.76	0.62	0.67	0.66	0.59	0.58	0.55	0.66	0.57	0.61	0.58	0.63	0.74	0.71	0.71	0.66	0.86	0.75	0.73	0.78	0.53	0.67	0.6	0.69	0.72	0.8	0.75	0.55	0.73	0.7	0.74	0.86	0.72	0.68	0.76	0.64	0.73	0.71	0.69	0.74	0.74	0.72	0.59	0.83	0.82	0.84	0.87	0.83	0.81	0.71	0.67	0.69	0.63	0.65	0.64	0.68	0.63	0.65	0.63	0.64	0.68	0.62	0.79	0.82	0.82	0.82	1	0.82	0.65	0.71	0.76	0.69	0.77	0.75
Ruminococcus obeum A2-162	0.59	0.55	0.55	0.53	0.37	0.74	0.68	0.58	0.64	0.64	0.55	0.58	0.55	0.62	0.57	0.58	0.58	0.59	0.65	0.68	0.66	0.64	0.79	0.69	0.67	0.72	0.52	0.64	0.55	0.66	0.67	0.76	0.7	0.49	0.7	0.61	0.74	0.8	0.72	0.61	0.71	0.58	0.67	0.68	0.77	0.7	0.65	0.65	0.5	0.78	0.77	0.79	0.8	0.75	0.75	0.78	0.64	0.63	0.6	0.62	0.59	0.62	0.56	0.57	0.58	0.58	0.59	0.55	0.79	0.7	0.74	0.8	0.82	1	0.69	0.62	0.67	0.6	0.68	0.74
Sporobacter termitidis DSM 10068	0.59	0.49	0.54	0.49	0.29	0.63	0.68	0.5	0.54	0.54	0.5	0.5	0.45	0.52	0.49	0.5	0.49	0.51	0.54	0.55	0.56	0.56	0.66	0.64	0.59	0.7	0.51	0.64	0.58	0.59	0.65	0.63	0.65	0.46	0.71	0.58	0.65	0.64	0.71	0.54	0.59	0.57	0.69	0.69	0.65	0.71	0.56	0.56	0.4	0.64	0.71	0.66	0.64	0.61	0.62	0.6	0.68	0.53	0.5	0.52	0.54	0.54	0.52	0.5	0.54	0.53	0.51	0.5	0.58	0.63	0.65	0.63	0.65	0.69	1	0.57	0.61	0.57	0.62	0.59
Streptococcus bovis AG46	0.58	0.5	0.51	0.49	0.48	0.53	0.62	0.51	0.57	0.55	0.51	0.5	0.46	0.58	0.51	0.5	0.49	0.5	0.69	0.7	0.7	0.67	0.74	0.76	0.74	0.68	0.56	0.63	0.55	0.72	0.66	0.73	0.67	0.59	0.68	0.68	0.64	0.7	0.61	0.73	0.69	0.65	0.68	0.59	0.59	0.68	0.74	0.73	0.67	0.72	0.7	0.7	0.76	0.75	0.69	0.62	0.6	0.57	0.56	0.55	0.57	0.59	0.56	0.55	0.59	0.57	0.56	0.57	0.66	0.7	0.7	0.68	0.71	0.62	0.57	1	0.86	0.87	0.87	0.67
Streptococcus mitis SK629	0.62	0.55	0.57	0.52	0.45	0.56	0.69	0.54	0.6	0.59	0.54	0.53	0.48	0.59	0.52	0.52	0.52	0.54	0.72	0.72	0.72	0.69	0.78	0.74	0.73	0.7	0.54	0.66	0.56	0.7	0.73	0.73	0.69	0.56	0.72	0.71	0.66	0.74	0.66	0.7	0.72	0.64	0.71	0.65	0.62	0.7	0.72	0.76	0.62	0.73	0.74	0.72	0.79	0.75	0.74	0.66	0.62	0.61	0.58	0.59	0.58	0.61	0.61	0.61	0.61	0.6	0.61	0.61	0.68	0.71	0.72	0.7	0.76	0.67	0.61	0.86	1	0.83	0.97	0.66
Streptococcus mutans B16 P Sm1	0.55	0.48	0.49	0.46	0.57	0.51	0.63	0.5	0.54	0.53	0.49	0.47	0.43	0.54	0.46	0.46	0.47	0.47	0.65	0.66	0.64	0.6	0.72	0.73	0.74	0.66	0.63	0.64	0.59	0.73	0.68	0.71	0.63	0.66	0.69	0.72	0.62	0.66	0.62	0.73	0.68	0.69	0.68	0.58	0.59	0.7	0.72	0.75	0.7	0.66	0.67	0.69	0.72	0.74	0.72	0.59	0.59	0.56	0.51	0.52	0.53	0.58	0.54	0.51	0.55	0.53	0.52	0.53	0.61	0.69	0.67	0.67	0.69	0.6	0.57	0.87	0.83	1	0.85	0.62
Streptococcus oralis ATCC 49296	0.63	0.56	0.58	0.54	0.44	0.56	0.69	0.57	0.61	0.6	0.56	0.54	0.5	0.6	0.53	0.54	0.54	0.55	0.74	0.73	0.74	0.71	0.79	0.74	0.74	0.7	0.54	0.66	0.58	0.7	0.72	0.74	0.7	0.57	0.72	0.7	0.68	0.77	0.7	0.7	0.73	0.64	0.73	0.67	0.63	0.7	0.72	0.77	0.63	0.73	0.75	0.72	0.79	0.76	0.75	0.67	0.64	0.63	0.59	0.6	0.59	0.63	0.61	0.61	0.62	0.61	0.61	0.61	0.69	0.74	0.73	0.73	0.77	0.68	0.62	0.87	0.97	0.85	1	0.68
Subdoligranulum variabile DSM 15176	0.56	0.6	0.54	0.58	0.32	0.67	0.66	0.58	0.67	0.68	0.58	0.62	0.59	0.62	0.61	0.61	0.64	0.61	0.64	0.67	0.66	0.66	0.74	0.68	0.68	0.69	0.49	0.62	0.53	0.64	0.65	0.74	0.72	0.48	0.65	0.61	0.69	0.79	0.69	0.63	0.67	0.56	0.65	0.63	0.69	0.65	0.71	0.66	0.57	0.73	0.73	0.74	0.8	0.75	0.79	0.79	0.6	0.67	0.61	0.62	0.61	0.65	0.56	0.58	0.61	0.59	0.58	0.56	0.79	0.71	0.71	0.78	0.75	0.74	0.59	0.67	0.66	0.62	0.68	1
